supplierID,companyName,contactName,contactTitle,city,country,phone
43,Guerrero-Moore,Benjamin Smith,Owner,Norrisfort,USA,503-444-7134x9361
44,Mason-Hammond,Natasha Wright,Owner,Jenniferville,UK,+44(0)1514960464
45,"Fernandez, Kim and George",Morgan Munoz,Purchasing Manager,North Jeremyshire,USA,001-604-490-2787
46,"Graham, Olsen and Costa",Jason Morris,Order Administrator,Port Eugenechester,USA,001-874-268-0715x451
47,"Booth, Murray and Brown",Lisa Jimenez,Purchasing Manager,Wolfborough,USA,282-847-7109x324
48,Wilson Inc,Darren Miah,Order Administrator,South Iain,UK,+44(0)161 4960467
49,Guerrero y Reyes S. R.L. de C.V.,Juan Carlos Elias Zamudio,Marketing Manager,Nueva Guatemala,Mexico,(584)044-9972x787
50,Kade Rohleder e.G.,Irena Jungfer-Graf,Accounting Manager,Riesa,Germany,0360576627
51,Eberth GmbH & Co. OHG,Stefani Ditschlerin,Owner,Burgdorf,Germany,07026 21745
52,"Schwartz, Santos and Christian",Shannon James,Marketing Manager,Courtneyfort,USA,+1-309-313-4316
53,Thompson-Burns,Gemma Duncan,Marketing Manager,West Sarahstad,UK,01514960238
54,Scheidegger Stocker AG,Miroslav Bieri,Accounting Manager,Zollikofen,Switzerland,+41 61 923 74 74
55,Rivero S.A. de C.V.,Dr. Antonia Quintanilla,Marketing Manager,San Rodrigo los bajos,Mexico,647-436-7136x95944
56,Spence Ltd,Adam Grimes,Accounting Manager,New Julieport,Canada,(595) 339-4210
57,Johnson-Diaz,Theodore Murphy,Sales Representative,Thompsonberg,USA,+1-758-384-2474
58,Mccarty-Taylor,Shannon Ramsey,Accounting Manager,Coffeyside,Australia,(02)60481754
59,"James, Little and Watson",Kaitlyn Harvey,Owner,Rosebury,USA,+1-517-446-1200x4711
60,Metz Koch II OHG mbH,Prof. Natalie Vogt,Order Administrator,Lübeck,Germany,(01796) 40537
